"","pcap","experiment","pkts_processed","total_baseline_alerts","total_experiment_alerts","avg_num_rules_compared_to","avg_num_contents_compared_to","avg_num_pcre_compared_to","pkts_fowarded_percent","pkts_fowarded_absolute","alerts_true_positive_percent","alerts_true_positive_absolute","alerts_false_positive_percent","alerts_false_positive_absolute","nids_processing_time"
"1","Backdoor_Malware","packet_sampling_10_10",33414,134,134,0,0,0,"52.77",17634,"100.00",134,"0.00",0,10.6552135944366
"2","Backdoor_Malware","packet_sampling_10_25",33414,134,134,0,0,0,"45.53",15212,"100.00",134,"0.00",0,6.73780083656311
"3","Backdoor_Malware","packet_sampling_10_5",33414,134,134,0,0,0,"64.02",21391,"100.00",134,"0.00",0,12.4483413696289
"4","Backdoor_Malware","packet_sampling_10_50",33414,134,134,0,0,0,"41.39",13831,"100.00",134,"0.00",0,6.55670118331909
"5","Backdoor_Malware","packet_sampling_25_10",33414,134,134,0,0,0,"65.03",21728,"100.00",134,"0.00",0,6.64704847335815
"6","Backdoor_Malware","packet_sampling_25_25",33414,134,134,0,0,0,"61.21",20454,"100.00",134,"0.00",0,6.62448692321777
"7","Backdoor_Malware","packet_sampling_25_5",33414,134,134,0,0,0,"72.83",24335,"100.00",134,"0.00",0,6.57981705665588
"8","Backdoor_Malware","packet_sampling_25_50",33414,134,134,0,0,0,"58.51",19552,"100.00",134,"0.00",0,6.98429226875305
"9","Backdoor_Malware","packet_sampling_5_10",33414,134,133,0,0,0,"42.84",14315,"99.25",133,"0.00",0,12.8713161945343
"10","Backdoor_Malware","packet_sampling_5_25",33414,134,133,0,0,0,"35.03",11704,"99.25",133,"0.00",0,13.2855021953583
"11","Backdoor_Malware","packet_sampling_5_5",33414,134,133,0,0,0,"55.79",18640,"99.25",133,"0.00",0,11.5305235385895
"12","Backdoor_Malware","packet_sampling_5_50",33414,134,133,0,0,0,"29.51",9859,"99.25",133,"0.00",0,12.2265486717224
"13","Backdoor_Malware","packet_sampling_50_10",33414,134,134,0,0,0,"76.10",25429,"100.00",134,"0.00",0,13.9304370880127
"14","Backdoor_Malware","packet_sampling_50_25",33414,134,134,0,0,0,"75.49",25224,"100.00",134,"0.00",0,11.9007346630096
"15","Backdoor_Malware","packet_sampling_50_5",33414,134,134,0,0,0,"78.93",26375,"100.00",134,"0.00",0,8.62143564224243
"16","Backdoor_Malware","packet_sampling_50_50",33414,134,134,0,0,0,"73.82",24666,"100.00",134,"0.00",0,6.80617618560791
"17","Backdoor_Malware","rule_based_eRBF",33414,134,135,0,0,0,"14.31",4782,"100.00",134,"0.74",1,33.3167753219604
"18","Backdoor_Malware","rule_based_fast_pattern",33414,134,119,0,0,0,"16.18",5406,"88.06",118,"0.84",1,12.2298858165741
"19","Backdoor_Malware","rule_based_header_only",33414,134,135,0,0,0,"85.13",28444,"100.00",134,"0.74",1,15.8942556381226
"20","Backdoor_Malware","rule_based_header_only_0",33414,134,0,0,0,0,"40.10",13399,"0.00",0,"0",0,19.1240749359131
"21","Backdoor_Malware","rule_based_header_only_1",33414,134,11,0,0,0,"73.61",24597,"8.21",11,"0.00",0,19.4906895160675
"22","BenignTraffic","packet_sampling_10_10",3664164,4139,4131,0,0,0,"31.99",1172172,"99.81",4131,"0.00",0,13.5832767486572
"23","BenignTraffic","packet_sampling_10_25",3664164,4139,4131,0,0,0,"26.27",962456,"99.81",4131,"0.00",0,12.890896320343
"24","BenignTraffic","packet_sampling_10_5",3664164,4139,4131,0,0,0,"36.50",1337252,"99.81",4131,"0.00",0,14.4409158229828
"25","BenignTraffic","packet_sampling_10_50",3664164,4139,4131,0,0,0,"22.94",840391,"99.81",4131,"0.00",0,12.2327733039856
"26","BenignTraffic","packet_sampling_25_10",3664164,4139,4138,0,0,0,"36.90",1351925,"99.98",4138,"0.00",0,14.7808699607849
"27","BenignTraffic","packet_sampling_25_25",3664164,4139,4138,0,0,0,"29.69",1087788,"99.98",4138,"0.00",0,14.6855370998383
"28","BenignTraffic","packet_sampling_25_5",3664164,4139,4138,0,0,0,"41.35",1515308,"99.98",4138,"0.00",0,15.3318827152252
"29","BenignTraffic","packet_sampling_25_50",3664164,4139,4138,0,0,0,"26.33",964789,"99.98",4138,"0.00",0,13.4230308532715
"30","BenignTraffic","packet_sampling_5_10",3664164,4139,4119,0,0,0,"26.14",957876,"99.52",4119,"0.00",0,22.7162549495697
"31","BenignTraffic","packet_sampling_5_25",3664164,4139,4119,0,0,0,"21.26",779099,"99.52",4119,"0.00",0,21.0582928657532
"32","BenignTraffic","packet_sampling_5_5",3664164,4139,4120,0,0,0,"30.90",1132152,"99.54",4120,"0.00",0,28.9852447509766
"33","BenignTraffic","packet_sampling_5_50",3664164,4139,4112,0,0,0,"17.95",657610,"99.35",4112,"0.00",0,11.0747513771057
